duration,start_station_name
360,Market at Sansome
1974,Powell Street BART
19869,Civic Center BART (7th at Market)
1051,Embarcadero at Sansome
892,Embarcadero at Sansome
317,Powell at Post (Union Square)
1345,2nd at Townsend
423,South Van Ness at Market
1034,Powell Street BART
1017,Powell Street BART
16053,Washington at Kearney
419,Embarcadero at Sansome
366,Embarcadero at Sansome
770,Powell at Post (Union Square)
12310,Howard at 2nd
4743,Embarcadero at Sansome
4397,Market at 4th
4370,Market at 4th
820,Embarcadero at Bryant
1998,Harry Bridges Plaza (Ferry Building)
1126,Embarcadero at Bryant
2460,Embarcadero at Sansome
2446,Embarcadero at Sansome
2448,Embarcadero at Sansome
2441,Embarcadero at Sansome
1401,San Francisco City Hall
1375,San Francisco City Hall
8326,Harry Bridges Plaza (Ferry Building)
8341,Harry Bridges Plaza (Ferry Building)
671,Grant Avenue at Columbus Avenue
727,Grant Avenue at Columbus Avenue
830,Market at 10th
265,Market at 4th
479,Market at Sansome
681,Embarcadero at Sansome
839,Embarcadero at Vallejo
823,Embarcadero at Vallejo
154,2nd at Folsom
1519,Embarcadero at Folsom
1485,Embarcadero at Folsom
682,Harry Bridges Plaza (Ferry Building)
487,Howard at 2nd
612,Harry Bridges Plaza (Ferry Building)
615,Harry Bridges Plaza (Ferry Building)
530,Harry Bridges Plaza (Ferry Building)
584,Harry Bridges Plaza (Ferry Building)
1371,Beale at Market
1574,San Francisco Caltrain (Townsend at 4th)
221,Market at Sansome
1562,San Francisco Caltrain (Townsend at 4th)
713,Harry Bridges Plaza (Ferry Building)
678,Harry Bridges Plaza (Ferry Building)
1293,Embarcadero at Sansome
1256,Embarcadero at Sansome
8041,Market at Sansome
428,Embarcadero at Sansome
425,Embarcadero at Sansome
404,Embarcadero at Sansome
371,Embarcadero at Sansome
298,2nd at Townsend
7830,Market at Sansome
3289,Mechanics Plaza (Market at Battery)
3279,Mechanics Plaza (Market at Battery)
82622,Townsend at 7th
1018,Civic Center BART (7th at Market)
941,Civic Center BART (7th at Market)
7290,Mechanics Plaza (Market at Battery)
1376,Embarcadero at Sansome
1392,Embarcadero at Sansome
1958,Embarcadero at Bryant
1398,Embarcadero at Sansome
1298,Embarcadero at Sansome
854,Townsend at 7th
255,5th at Howard
1482,Steuart at Market
1473,Steuart at Market
786,Harry Bridges Plaza (Ferry Building)
820,Harry Bridges Plaza (Ferry Building)
787,Harry Bridges Plaza (Ferry Building)
779,Harry Bridges Plaza (Ferry Building)
352,Embarcadero at Bryant
499,Washington at Kearney
255,2nd at Townsend
646,Civic Center BART (7th at Market)
1153,Howard at 2nd
1129,Howard at 2nd
1106,Howard at 2nd
4691,Steuart at Market
4560,Steuart at Market
102,2nd at South Park
940,Embarcadero at Sansome
942,Embarcadero at Sansome
14103,Grant Avenue at Columbus Avenue
434,Powell at Post (Union Square)
422,Powell at Post (Union Square)
2887,Embarcadero at Sansome
2871,Embarcadero at Sansome
2868,Embarcadero at Sansome
2854,Embarcadero at Sansome
7848,San Francisco Caltrain (Townsend at 4th)
7785,San Francisco Caltrain (Townsend at 4th)
736,Powell Street BART
697,Powell Street BART
957,Golden Gate at Polk
341,Embarcadero at Sansome
439,Civic Center BART (7th at Market)
485,Spear at Folsom
460,San Francisco Caltrain 2 (330 Townsend)
1480,South Van Ness at Market
1441,South Van Ness at Market
292,Market at 10th
1460,San Francisco Caltrain 2 (330 Townsend)
610,Mechanics Plaza (Market at Battery)
612,Mechanics Plaza (Market at Battery)
1154,2nd at Townsend
447,Mechanics Plaza (Market at Battery)
428,Mechanics Plaza (Market at Battery)
1331,Embarcadero at Bryant
1322,Embarcadero at Bryant
1224,Powell Street BART
8559,2nd at Folsom
1195,Powell Street BART
463,2nd at Folsom
7742,2nd at Townsend
7729,2nd at Townsend
326,2nd at South Park
438,Davis at Jackson
399,Townsend at 7th
600,Powell at Post (Union Square)
261,2nd at Folsom
1247,San Francisco Caltrain 2 (330 Townsend)
1249,San Francisco Caltrain 2 (330 Townsend)
254,2nd at Folsom
1011,Embarcadero at Sansome
7883,Harry Bridges Plaza (Ferry Building)
9243,Harry Bridges Plaza (Ferry Building)
1089,Grant Avenue at Columbus Avenue
1084,Grant Avenue at Columbus Avenue
1183,San Francisco Caltrain (Townsend at 4th)
1195,San Francisco Caltrain (Townsend at 4th)
1958,Embarcadero at Vallejo
753,Market at 10th
5023,Davis at Jackson
1656,Embarcadero at Bryant
1610,Embarcadero at Bryant
1812,Harry Bridges Plaza (Ferry Building)
786,San Francisco Caltrain (Townsend at 4th)
536,Harry Bridges Plaza (Ferry Building)
2391,Market at 4th
936,Market at 4th
886,Market at 4th
729,Civic Center BART (7th at Market)
524,Embarcadero at Folsom
1484,Mechanics Plaza (Market at Battery)
2377,Harry Bridges Plaza (Ferry Building)
3446,Harry Bridges Plaza (Ferry Building)
1304,Mechanics Plaza (Market at Battery)
904,Embarcadero at Sansome
885,Embarcadero at Sansome
1127,Mechanics Plaza (Market at Battery)
976,Mechanics Plaza (Market at Battery)
1141,Grant Avenue at Columbus Avenue
1117,Grant Avenue at Columbus Avenue
783,Embarcadero at Sansome
785,Embarcadero at Sansome
296,Mechanics Plaza (Market at Battery)
697,Market at 4th
673,Market at 4th
768,Embarcadero at Sansome
4248,South Van Ness at Market
492,Harry Bridges Plaza (Ferry Building)
651,Embarcadero at Folsom
360,Civic Center BART (7th at Market)
824,Commercial at Montgomery
791,Commercial at Montgomery
993,Washington at Kearney
890,Washington at Kearney
73,5th at Howard
551,5th at Howard
709,Post at Kearney
1487,Embarcadero at Sansome
674,2nd at Townsend
656,Embarcadero at Sansome
541,Steuart at Market
645,Powell at Post (Union Square)
788,Harry Bridges Plaza (Ferry Building)
767,Harry Bridges Plaza (Ferry Building)
522,South Van Ness at Market
1352,Embarcadero at Sansome
1293,Embarcadero at Sansome
1286,Embarcadero at Sansome
1260,Embarcadero at Sansome
965,Embarcadero at Vallejo
362,Powell Street BART
377,Davis at Jackson
368,Davis at Jackson
865,Powell at Post (Union Square)
795,Market at 4th
784,Market at 4th
839,Embarcadero at Folsom
308,Yerba Buena Center of the Arts (3rd @ Howard)
785,Powell Street BART
732,Powell Street BART
712,2nd at Townsend
1092,Embarcadero at Sansome
937,Embarcadero at Sansome
910,Embarcadero at Sansome
563,Harry Bridges Plaza (Ferry Building)
527,Harry Bridges Plaza (Ferry Building)
1307,Embarcadero at Bryant
1729,Washington at Kearney
1731,Washington at Kearney
373,Golden Gate at Polk
341,Golden Gate at Polk
365,Golden Gate at Polk
329,Golden Gate at Polk
465,Harry Bridges Plaza (Ferry Building)
440,Harry Bridges Plaza (Ferry Building)
505,Market at Sansome
492,Market at Sansome
444,Steuart at Market
432,Steuart at Market
479,Market at 4th
426,Market at 4th
